client_id,name,is_live,status,last_updated,onboarded_on,location,email,phone_number,risk_score,created_ts,updated_by
C0042,Corey Hernandez,N,Active,05-06-2024,03-12-2024,Canada,gabrielle65@example.net,633-277-0568x69534,0.99,03-12-2024 00:00,robert54
C0043,Seth Montoya,N,Active,26-04-2025,18-08-2024,UK,pshort@example.net,(301)822-7568x989,0.19,18-08-2024 00:00,martin10
C0044,Robert Cook,Y,Inactive,23-05-2024,04-09-2024,Australia,aaronreed@example.net,2284770632,0.37,04-09-2024 00:00,katherinejones
C0045,Christopher Smith,N,Offboarded,30-07-2024,23-01-2024,India,xpacheco@example.net,742-508-0598x49006,0.49,23-01-2024 00:00,pattersonkristin
C0046,Leslie Drake,Y,Active,04-03-2025,01-09-2024,India,jaclynmurphy@example.net,770.532.0534x3342,0.05,01-09-2024 00:00,jensensamuel
C0047,Alan Smith,Y,Active,11-02-2025,06-05-2024,Canada,smithtina@example.org,450.353.9258x028,0.55,06-05-2024 00:00,daniel74
C0048,Martin Holden,N,Offboarded,19-04-2024,18-10-2024,Australia,zhernandez@example.net,(705)596-2953,0.43,18-10-2024 00:00,handrews
C0049,Austin Brown,N,Inactive,02-08-2025,05-06-2024,USA,michaelalane@example.com,(892)456-8999x6331,0.81,05-06-2024 00:00,laurawilson
C0050,Kellie Stephens,N,Inactive,11-01-2024,20-12-2024,India,dkennedy@example.org,561.759.9010,0.36,20-12-2024 00:00,davisjennifer
C0051,Kimberly Macias,N,Inactive,19-12-2024,06-09-2024,USA,pedwards@example.net,972-280-1980x9986,0.67,06-09-2024 00:00,waynegomez
C0052,Gregory Dickson,N,Inactive,18-10-2024,03-08-2024,Germany,jeremy97@example.org,694.629.2680x758,0.16,03-08-2024 00:00,tiffanylopez
C0053,Stephanie Johnson,Y,Offboarded,25-02-2024,06-01-2025,USA,tony02@example.com,207.351.4675x8086,0.79,06-01-2025 00:00,angela93
C0054,Christy Hodges,Y,Inactive,16-07-2024,19-05-2024,India,ashley22@example.net,001-389-820-5067x91492,0.3,19-05-2024 00:00,rebecca91
C0055,Christina Byrd,Y,Active,20-02-2025,11-02-2025,UK,andersondiane@example.org,7197909271,0.08,11-02-2025 00:00,howardgonzalez
C0056,Robert Daniels,N,Inactive,26-04-2024,17-04-2025,Canada,beasleyruben@example.com,259.629.6303x170,0.56,17-04-2025 00:00,wsolomon
C0057,James Pierce,Y,Active,08-02-2024,29-05-2025,UK,shermansarah@example.net,-1288,0.51,29-05-2025 00:00,lewismatthew
C0058,Stacey Griffith,N,Offboarded,24-01-2024,17-09-2024,Australia,fcross@example.net,514.781.6300x9047,0.6,17-09-2024 00:00,shelby06
C0059,Kenneth Edwards,Y,Active,09-06-2024,21-09-2024,Canada,curtisromero@example.org,8887744465,0.08,21-09-2024 00:00,mckenzie23
C0060,Richard Yates,N,Offboarded,11-05-2025,12-02-2024,Canada,waltonkimberly@example.com,660.806.7889x500,0.04,12-02-2024 00:00,hansenkenneth
C0061,Katrina Taylor,N,Offboarded,28-09-2024,30-09-2024,UK,hernandezjoshua@example.net,685.728.9595,0.53,30-09-2024 00:00,griffinrobert
C0062,Kevin Garcia,Y,Offboarded,04-07-2024,18-05-2025,Australia,ncisneros@example.org,849-777-6949,0.62,18-05-2025 00:00,gibsonmichele
C0063,Richard Johnson,N,Offboarded,20-05-2024,27-08-2024,Australia,owilson@example.com,+1-684-355-3135x73326,0.75,27-08-2024 00:00,hernandezdawn
C0064,Maria Newman,Y,Inactive,10-10-2024,28-09-2024,UK,hamiltonrebecca@example.net,+1-854-485-2537x0631,0.11,28-09-2024 00:00,kberg
C0065,Nichole Benton,N,Active,28-03-2024,14-04-2025,UK,denise98@example.com,874.325.5180,0.28,14-04-2025 00:00,scottjohnson
C0066,Rebecca Love MD,Y,Active,31-05-2024,18-06-2024,Canada,rjohnson@example.org,4004062001,0.57,18-06-2024 00:00,lrobinson
C0067,Erin Cook,N,Offboarded,20-07-2025,03-03-2024,India,garrisonnicholas@example.org,+1-331-867-0556x0538,0.97,03-03-2024 00:00,jeffreysilva
C0068,Karina Hammond,Y,Offboarded,15-05-2025,03-01-2024,Canada,chelseaowens@example.org,947-873-1344x852,0.08,03-01-2024 00:00,amy56
C0069,Jennifer Davis,N,Offboarded,01-10-2024,04-05-2024,India,tateryan@example.org,001-582-348-1692x193,0.78,04-05-2024 00:00,garciakatie
C0070,Mr. Ross Larsen DDS,N,Inactive,31-03-2025,17-05-2025,Australia,mark67@example.com,+1-947-882-1420x48956,0.68,17-05-2025 00:00,brucejones
C0071,Kristina Hopkins,N,Offboarded,27-01-2024,17-01-2025,Germany,dbryant@example.com,355.287.6602x33404,0.74,17-01-2025 00:00,marquezkathleen
C0072,Keith Duran,Y,Inactive,10-12-2024,02-01-2025,Germany,lmontgomery@example.org,212.390.6600,0.8,02-01-2025 00:00,lisadavis
C0073,Debbie Ruiz,Y,Active,11-01-2025,07-07-2024,Australia,njohnson@example.org,351.847.9263x49694,0.46,07-07-2024 00:00,colleen82
C0074,Natalie Price,Y,Active,05-02-2025,29-05-2025,Canada,harveyjennifer@example.com,+1-946-407-1260x417,0.49,29-05-2025 00:00,raymondmiller
C0075,John Harrison,Y,Inactive,04-04-2025,06-06-2024,Canada,mmclaughlin@example.net,545.843.9174x347,0.03,06-06-2024 00:00,shannonclay
C0076,Patrick Duncan,N,Offboarded,23-02-2024,17-12-2024,Australia,colemartha@example.net,538.601.5048x958,0.06,17-12-2024 00:00,bradleyherrera
C0077,Jason Massey,Y,Offboarded,18-04-2024,31-10-2024,Germany,heatherhall@example.net,(838)829-7174,0.95,31-10-2024 00:00,rachel13
C0078,Emma Wright,N,Active,13-12-2024,01-05-2025,Australia,tinajones@example.org,655.875.1490x2524,0.59,01-05-2025 00:00,jordanerika
C0079,David Lee,Y,Inactive,16-07-2024,25-10-2024,Germany,dcooper@example.org,7603463267,0.4,25-10-2024 00:00,torressabrina
C0080,Pamela Bauer,Y,Inactive,12-07-2025,23-10-2024,Canada,garciajoseph@example.com,001-957-344-7502,0.96,23-10-2024 00:00,christopher63
C0081,John Morrison,Y,Offboarded,26-06-2024,14-06-2024,Canada,brandonrodriguez@example.org,-10728,0.72,14-06-2024 00:00,tkim
C0082,Gina Robinson,N,Offboarded,06-06-2025,17-01-2025,UK,alfred46@example.org,667-524-5899x0596,0.57,17-01-2025 00:00,justin32
C0083,James Hamilton,N,Inactive,15-10-2024,05-03-2025,India,chelsea52@example.net,7349847610,0.71,05-03-2025 00:00,larrymiller
C0084,Tyler Copeland,Y,Offboarded,25-04-2025,15-08-2024,UK,ricky76@example.org,959-841-9191,0.57,15-08-2024 00:00,lopezmichael
C0085,Oscar Morales,N,Active,13-08-2024,25-08-2024,UK,jillianmoore@example.net,001-986-526-4609x4789,0.14,25-08-2024 00:00,jarvisrobert
C0086,Kimberly Galloway,Y,Inactive,03-12-2024,14-01-2024,USA,thomashill@example.com,+1-368-650-0719x756,0.91,14-01-2024 00:00,hcrawford
C0087,Christopher Nunez,N,Offboarded,19-04-2025,01-04-2024,USA,michellemorgan@example.org,432-768-0111,0.34,01-04-2024 00:00,hguerra
C0088,Troy Daniel,N,Offboarded,20-02-2024,06-02-2025,Australia,heather88@example.org,(953)763-0857x6317,0.67,06-02-2025 00:00,kenneth70
C0089,Carl Jones,Y,Offboarded,26-02-2024,26-09-2024,Australia,ismith@example.com,+1-871-836-1788x2657,0.31,26-09-2024 00:00,kyle07
C0090,Christina Carson,N,Active,20-01-2024,29-06-2024,Australia,jessemckay@example.org,852-546-7120x64033,0.28,29-06-2024 00:00,susan89
C0091,Kevin Baldwin,N,Active,11-07-2024,15-06-2024,Germany,vwalton@example.net,-5882,0.51,15-06-2024 00:00,lmorris
C0092,Jason Travis,N,Inactive,10-01-2025,14-07-2024,Australia,nwebb@example.com,001-977-416-1435x97503,0.44,14-07-2024 00:00,ramirezsamantha
C0093,Kari Dalton,N,Offboarded,19-05-2024,18-02-2024,India,annaanderson@example.org,+1-968-644-6483x619,0.18,18-02-2024 00:00,christinamoore
C0094,Ronald Stark,N,Offboarded,09-02-2025,13-01-2024,India,mmendoza@example.org,744.640.2012,0.09,13-01-2024 00:00,georgelinda
C0095,Robert Johnson,Y,Inactive,24-11-2024,04-05-2024,India,emily82@example.org,-8594,0.1,04-05-2024 00:00,jennifercarroll
C0096,Meghan Acosta,Y,Offboarded,25-03-2024,11-03-2025,USA,kingnatasha@example.org,+1-790-297-7043x01606,0.71,11-03-2025 00:00,jessicayoder
C0097,Angel Mccullough,Y,Inactive,10-01-2025,10-04-2025,Canada,lferguson@example.org,545-327-7648,0.3,10-04-2025 00:00,munoznicole
C0098,Kaitlin Reese,Y,Active,27-07-2024,27-01-2025,Canada,jameserik@example.net,989.285.2769x0796,0.83,27-01-2025 00:00,ogonzalez
C0099,Jordan Kirk,Y,Active,09-06-2025,08-02-2025,Canada,tiffany35@example.net,9128666327,0.54,08-02-2025 00:00,wendy96
C0100,Angela Wells,Y,Offboarded,30-05-2024,15-02-2024,India,haassherry@example.net,+1-569-258-0535x8393,0.17,15-02-2024 00:00,juarezallison
C0101,Edward Austin,Y,Inactive,31-12-2024,11-03-2024,India,lmacias@example.net,-5670,0.25,11-03-2024 00:00,briangarcia
C0102,Tiffany Orozco,Y,Inactive,25-11-2024,14-02-2025,Canada,ujimenez@example.net,(796)258-0350x856,0.95,14-02-2025 00:00,katie26
C0103,Christopher Nelson,N,Active,10-07-2025,15-06-2024,Australia,pferguson@example.com,(784)288-7076x399,0.32,15-06-2024 00:00,kyle69
C0104,Tricia Harrington,N,Offboarded,12-04-2025,21-03-2025,Germany,harringtongavin@example.com,+1-565-539-4337x0974,0.08,21-03-2025 00:00,alichristina
C0105,Chris Miller,Y,Active,19-01-2025,14-03-2024,USA,kayla01@example.com,5992497779,0.08,14-03-2024 00:00,markhopkins
C0106,Austin Hughes,N,Inactive,05-04-2024,06-11-2024,India,ltaylor@example.com,-9736,0.68,06-11-2024 00:00,karenmcclure
C0107,Jessica Jacobs,Y,Active,09-05-2025,14-04-2025,India,tannerjohnson@example.com,+1-816-310-8571x05372,0.35,14-04-2025 00:00,james37
C0108,Thomas Stanton,Y,Offboarded,11-08-2024,15-08-2024,Australia,cindyramirez@example.net,+1-441-645-6909x80377,0.85,15-08-2024 00:00,dunnbrandi
C0109,Michelle Boyer,Y,Active,09-06-2025,28-01-2025,UK,joshuaevans@example.net,(877)681-7390x11591,0.97,28-01-2025 00:00,summersjennifer
C0110,Hannah Peterson,N,Active,13-06-2024,09-04-2024,Germany,johnsonjasmine@example.com,-10294,0.88,09-04-2024 00:00,pdixon
C0111,Tracy Miller,Y,Active,24-06-2025,08-12-2024,USA,megan25@example.com,+1-473-546-4888x782,0.57,08-12-2024 00:00,kiddsamuel
C0112,Jennifer Thomas,Y,Offboarded,08-02-2025,13-06-2024,Australia,cherylhart@example.net,-6004,0.87,13-06-2024 00:00,amandafox
C0113,Michael Hardy,Y,Offboarded,28-06-2024,24-04-2024,Canada,charlene54@example.com,001-687-506-0174,0.9,24-04-2024 00:00,michaelestrada
C0114,Joy Allen,N,Offboarded,13-02-2025,28-06-2024,Canada,rwoodard@example.com,001-362-935-1451,0.21,28-06-2024 00:00,kevinwright
C0115,Dylan Hall,N,Offboarded,28-07-2025,31-01-2025,Germany,larsoncrystal@example.com,(660)269-1706x9221,0.44,31-01-2025 00:00,olsonbeth
C0116,Connie Bradford,N,Active,15-03-2024,05-01-2025,Australia,fmcclain@example.net,(212)629-0915,0.31,05-01-2025 00:00,kimbaird
C0117,Donald Harris,N,Offboarded,01-06-2025,18-08-2024,Canada,rodriguezjennifer@example.org,479-348-8453x04667,0.71,18-08-2024 00:00,nwatson
C0118,Natasha Barker,Y,Inactive,06-03-2025,06-11-2024,UK,cmendoza@example.org,598.504.4841x22292,0.4,06-11-2024 00:00,vreynolds
C0119,Crystal Wood,N,Active,17-06-2025,05-12-2024,Australia,markhogan@example.net,4034935119,0.43,05-12-2024 00:00,andrewstone
C0120,Alicia Best,N,Offboarded,24-11-2024,22-01-2025,UK,marnold@example.org,(316)301-9216,0.12,22-01-2025 00:00,rhaney
C0121,Jenny George,N,Active,18-06-2024,01-08-2024,Australia,potterdavid@example.net,(609)965-1027x3485,0.95,01-08-2024 00:00,kellysara
C0122,Rebecca Chen,N,Inactive,28-10-2024,20-02-2024,USA,houstonjenny@example.net,868-538-1115x0576,0.17,20-02-2024 00:00,olivia85
C0123,John Ritter,Y,Offboarded,24-08-2024,25-02-2025,USA,ehall@example.org,248-760-1410,0.86,25-02-2025 00:00,terrymeyer
C0124,Kyle Collins,N,Offboarded,09-09-2024,15-08-2024,India,idrake@example.net,001-271-229-4616x197,0.19,15-08-2024 00:00,pbrown
C0125,Joy White,Y,Active,27-04-2024,14-05-2024,UK,marmstrong@example.com,001-493-251-6674,0.42,14-05-2024 00:00,danielsmary
C0126,Carolyn Riddle,N,Active,05-04-2024,04-03-2025,India,ecain@example.org,826.631.4830x3605,0.25,04-03-2025 00:00,gromero
C0127,Nicole Jackson,N,Inactive,10-04-2025,25-10-2024,USA,vaughndevin@example.org,763.953.4038x48374,0.47,25-10-2024 00:00,carlmorales
C0128,Mallory Cook,N,Offboarded,20-09-2024,19-07-2024,UK,debra08@example.org,589.928.9735,0.46,19-07-2024 00:00,anixon
C0129,Scott Gross,Y,Active,21-03-2025,18-02-2025,Germany,gilbertdaniel@example.org,228-488-3568,0.78,18-02-2025 00:00,daniel98
C0130,Brian King,N,Offboarded,05-07-2025,03-08-2024,Australia,kjohnson@example.com,(662)387-2745,0.59,03-08-2024 00:00,markstout
C0131,Jennifer Elliott,Y,Inactive,29-03-2025,14-04-2025,Germany,sotoapril@example.net,(304)992-5069x818,0.35,14-04-2025 00:00,gabriellaoneal
C0132,Lee Soto,Y,Active,16-12-2024,30-12-2024,India,robert55@example.org,001-607-308-6249,0.22,30-12-2024 00:00,reyesbianca
C0133,Angela Carroll,Y,Active,30-05-2025,26-02-2025,USA,wutyrone@example.org,(463)319-8695x7501,0.73,26-02-2025 00:00,david09
C0134,Stephanie Patterson,Y,Inactive,25-12-2024,14-04-2024,USA,garciaalexis@example.org,691.208.0559x19143,0.89,14-04-2024 00:00,rtaylor
C0135,Terry Morgan,Y,Inactive,01-02-2025,05-09-2024,UK,lisa21@example.com,001-680-854-8761x5689,0.25,05-09-2024 00:00,maryreyes
C0136,Andrew Moran,Y,Active,20-07-2025,25-02-2024,India,vnguyen@example.net,001-664-557-0429x44129,0.24,25-02-2024 00:00,lisa80
C0137,Keith Arias,N,Offboarded,11-01-2024,01-03-2025,India,nataliecollier@example.org,549.587.6539x359,0.71,01-03-2025 00:00,lcrosby
C0138,Joel Robinson,Y,Active,05-06-2024,24-02-2024,UK,crystal48@example.net,604.234.0838x140,0.63,24-02-2024 00:00,alejandromorrison
C0139,Claire Collins,Y,Active,30-06-2024,21-11-2024,UK,dsimpson@example.net,904-463-6855,0.81,21-11-2024 00:00,katherine70
C0140,Michele Norman,N,Offboarded,26-04-2025,23-04-2025,Canada,robinsonjill@example.com,+1-273-298-2714x014,0.11,23-04-2025 00:00,jon99
C0141,Mrs. Sharon Jenkins,Y,Active,17-05-2024,05-06-2024,Australia,mary10@example.net,001-638-313-8959x6238,0.69,05-06-2024 00:00,wilsontracy
C0142,Michele Gonzales,Y,Inactive,03-06-2024,08-03-2024,Canada,anthony75@example.net,523-310-6961,0.94,08-03-2024 00:00,donovanerika
C0143,Chad Johnson,Y,Offboarded,03-08-2024,05-01-2024,UK,starklarry@example.net,356-431-3128,0.79,05-01-2024 00:00,qgarcia
C0144,Ashley Mcneil,Y,Inactive,13-09-2024,21-03-2024,Germany,zacharyharris@example.net,665.408.2596x80393,0.93,21-03-2024 00:00,jessicaibarra
C0145,Rick Mcdonald,Y,Offboarded,10-01-2025,22-03-2024,India,guerrerophilip@example.org,(528)996-5695,0.18,22-03-2024 00:00,christopherli
C0146,Karen Lynch,N,Active,01-02-2024,29-03-2024,UK,connie03@example.org,9392537158,0.51,29-03-2024 00:00,ghuffman
C0147,Kimberly Smith,N,Active,12-12-2024,01-08-2024,Canada,pmorgan@example.com,906-392-4350x00582,0.03,01-08-2024 00:00,willie41
C0148,Kaitlin Walsh,N,Inactive,20-07-2025,20-08-2024,India,samuel08@example.org,6999655819,0.31,20-08-2024 00:00,chenry
C0149,Kenneth Melton,N,Offboarded,28-04-2024,31-05-2024,USA,vincentsean@example.net,001-477-999-5234,0.9,31-05-2024 00:00,ladams
C0150,Kevin Silva,N,Offboarded,07-04-2024,22-01-2025,Canada,victorramirez@example.org,(729)429-3137x0308,0,22-01-2025 00:00,ericwheeler
C0151,Cheryl Williams,Y,Active,17-03-2024,06-01-2024,UK,pennylawrence@example.net,323-735-5384,0.71,06-01-2024 00:00,gregorymaureen
C0152,Jason Garcia,N,Offboarded,04-02-2024,12-02-2025,UK,paynedwayne@example.org,3412869175,0.46,12-02-2025 00:00,andersonamy
C0153,Nicole Brooks,N,Active,03-11-2024,16-02-2024,UK,sharon74@example.com,001-610-572-0670x8724,0.21,16-02-2024 00:00,nicoleramirez
C0154,Christine Richards,N,Active,03-05-2024,11-03-2024,Germany,garciatracey@example.net,729-865-0265x15279,0.82,11-03-2024 00:00,ksanchez
C0155,Nathan Rodriguez,N,Inactive,03-02-2024,09-01-2024,Australia,hjones@example.net,240.390.4376,0.41,09-01-2024 00:00,james94
C0156,Mr. Zachary Ford,N,Offboarded,02-10-2024,08-02-2024,USA,vwoods@example.org,001-871-500-8426x5564,0.35,08-02-2024 00:00,nicholas58
C0157,Mary Johnson,N,Offboarded,21-11-2024,02-10-2024,UK,alan89@example.com,9009705248,0.1,02-10-2024 00:00,amy85
C0158,Nancy Delgado,N,Offboarded,29-01-2025,30-11-2024,USA,caitlinkerr@example.net,922-451-0190x140,0.17,30-11-2024 00:00,allisonlucas
C0159,Keith Yoder,Y,Offboarded,01-05-2025,08-12-2024,Germany,tjackson@example.org,599-915-9015,0.08,08-12-2024 00:00,robbinsmegan
C0160,Gregory Valentine,Y,Active,30-08-2024,12-09-2024,Australia,elizabeth26@example.net,+1-558-505-9836x91868,0.3,12-09-2024 00:00,richard43
C0161,Michelle Keller,N,Inactive,02-04-2025,11-05-2024,Canada,maryadams@example.com,391.224.4965x530,0.08,11-05-2024 00:00,michaelnielsen
C0162,Robert Santana,Y,Active,21-03-2024,05-08-2024,India,whitejohn@example.org,206.733.2323,0.92,05-08-2024 00:00,johntrujillo
C0163,Jonathan Brown,N,Inactive,12-03-2025,17-09-2024,Canada,fjones@example.com,(688)515-5844x406,0.4,17-09-2024 00:00,chenjennifer
C0164,Carl Garcia,Y,Inactive,09-06-2025,09-09-2024,Canada,kristen53@example.org,720-528-4163x0729,0.72,09-09-2024 00:00,jessica37
C0165,Tiffany Maldonado,Y,Active,21-09-2024,23-02-2024,India,elizabethbuck@example.com,321-987-6954x288,0.45,23-02-2024 00:00,elizabeth10
C0166,James Bennett,N,Offboarded,16-01-2025,21-11-2024,UK,pmejia@example.com,849.836.3701,0.12,21-11-2024 00:00,vchambers
C0167,Tina Anderson,Y,Active,19-01-2025,30-05-2024,India,smithemily@example.net,(470)652-2452,0.05,30-05-2024 00:00,rodriguezpatrick
C0168,Brandon Jackson,Y,Inactive,22-03-2024,05-03-2024,UK,qwilson@example.org,001-201-766-9491x7402,0.55,05-03-2024 00:00,lunadonald
C0169,Catherine Walker,Y,Inactive,21-01-2024,17-01-2025,Canada,christopher04@example.com,(715)642-9951x008,0.24,17-01-2025 00:00,loweryjason
C0170,Kimberly Kelly,N,Active,21-06-2024,25-03-2024,India,dana06@example.net,472.686.6829x750,0.61,25-03-2024 00:00,melissa05
C0171,Monica Moore,Y,Offboarded,22-03-2024,18-04-2025,Germany,salinasjacob@example.org,-5973,0.94,18-04-2025 00:00,frazierlauren
C0172,Michael Foster,N,Offboarded,29-10-2024,05-04-2024,UK,iancastaneda@example.org,285.380.5431x2109,0.75,05-04-2024 00:00,linda47
C0173,Emily Davidson,N,Offboarded,24-05-2024,01-12-2024,USA,tiffanyrivera@example.org,(991)998-8115x15585,0.69,01-12-2024 00:00,efreeman
C0174,Lori Rich,Y,Active,31-03-2024,08-01-2024,Australia,tyler68@example.org,-6686,0.71,08-01-2024 00:00,jeremiah89
C0175,Richard Walker,Y,Active,24-05-2025,09-12-2024,Canada,mitchellzachary@example.org,4589586520,0.85,09-12-2024 00:00,irichmond
C0176,Kelly Perez,N,Offboarded,14-04-2025,08-05-2025,Australia,espinozaryan@example.com,(518)617-6701x537,0.47,08-05-2025 00:00,josephdickson
C0177,Thomas Oliver,Y,Inactive,02-09-2024,22-06-2024,Canada,wesleyunderwood@example.org,-2188,0.35,22-06-2024 00:00,gina87
C0178,Brooke Wright,N,Offboarded,13-04-2025,31-01-2024,Germany,dave93@example.org,+1-356-499-8110x40240,0.65,31-01-2024 00:00,bowersnancy
C0179,Richard Montgomery,N,Offboarded,26-03-2025,20-04-2024,India,tmaddox@example.net,4062509591,0.34,20-04-2024 00:00,petersonjudy
C0180,Jamie Kim,Y,Inactive,13-01-2025,24-01-2024,India,zsims@example.org,(790)911-9310,0.46,24-01-2024 00:00,taylorjoshua
